,JK,JUR,GAJI_ORTU,PDK_IBU,PEK_IBU,PEK_AYAH,IP_S1,IP_S2,STATUS_LULUS
6283,L,HUK,G4,SRJN,PS,PNS,2.6,1.9,LLW
3354,L,KOM,G5,SRJN,PSN,PS,2.82,2.84,LLW
3192,L,KOM,G4,SMTA,PNS,PNS,3.14,3.0,LLW
830,L,AKU,G3,SMTA,PS,PS,2.67,2.52,LLW
3162,P,KOM,G4,SRJN,PNS,LL,2.32,2.6,LLW
5489,P,HUK,G1,SMTA,LL,PSN,3.0,2.73,LLW
6374,L,HUK,G2,SRJN,LL,GRD,3.2,3.09,LLW
823,L,AKU,G3,LL,PDG,PDG,3.21,2.92,LLW
5149,L,HUK,G2,SMP,LL,PS,2.1,2.1,LLW
822,P,AKU,G4,SRJN,GRD,LL,3.54,3.62,LLW
6233,P,HUK,G4,SMP,PDG,PDG,3.1,2.5,LLW
3329,L,KOM,G3,SRJN,LL,LL,3.18,3.23,LLW
6246,L,HUK,G3,SRJN,PS,PS,2.6,2.7,LLW
3382,P,KOM,G4,SRJN,GRD,PDG,2.95,3.26,LLW
3417,P,KOM,G7,SRJN,PNS,PNS,3.36,3.45,LLW
5157,L,HUK,G4,SMTA,PNS,PNS,2.5,2.7,LLW
3229,L,KOM,G2,SRJN,GRD,GRD,3.14,3.41,LLW
3184,P,KOM,G4,SRJN,PNS,GRD,2.95,3.4,LLW
3103,L,KOM,G3,SMP,LL,PDG,3.27,3.09,LLW
2173,P,EKO,G4,SRJN,LL,GRD,3.46,3.58,LLW
2019,P,EKO,G3,SRJN,GRD,GRD,3.21,3.08,LLW
1984,L,EKO,G3,SMTA,LL,PSN,3.25,2.75,LLW
5708,P,HUK,G7,SRJN,LL,PS,3.8,3.64,LLW
2013,L,EKO,G4,SMTA,LL,GRD,3.17,2.88,LLW
1023,L,AKU,G2,SMTA,LL,PSN,3.62,3.78,LLW
670,P,AKU,G4,SMTA,LL,PNS,2.12,2.17,LLW
5486,P,HUK,G1,SMTA,LL,LL,3.1,3.05,LLW
3077,P,KOM,G4,SMTA,LL,ABRI,2.86,3.14,LLW
663,L,AKU,G4,SRJN,PNS,PNS,3.29,3.52,LLW
6136,L,HUK,G5,SMTA,PDG,PSN,2.4,2.78,LLW
5384,L,HUK,G3,SRJN,GRD,GRD,2.1,2.0,LLW
6056,P,HUK,G4,SMTA,PNS,GRD,2.8,2.7,LLW
3426,P,KOM,G4,SRJN,GRD,PSN,3.45,3.55,LLW
3295,P,KOM,G2,SD,BPN,BPN,2.68,3.65,LLW
3383,P,KOM,G3,SRJN,GRD,GRD,3.45,3.14,LLW
1891,P,EKO,G2,SMTA,LL,PNS,3.54,3.21,LLW
3168,L,KOM,G3,SRJN,PS,PSN,2.86,2.7,LLW
3217,L,KOM,G2,SMTA,LL,PS,2.68,3.0,LLW
3097,P,KOM,G3,SMP,GRD,PNS,2.73,2.7,LLW
1986,L,EKO,G4,SRJN,LL,PNS,2.46,2.83,LLW
5662,P,HUK,G3,SRJN,PSN,PDG,1.5,2.31,LLW
5716,P,HUK,G4,SD,PDG,PDG,2.7,1.0,LLW
5811,L,HUK,G7,SMTA,LL,PNS,2.9,2.5,LLW
6249,L,HUK,G4,SRJN,PS,PNS,2.5,0.88,LLW
3233,P,KOM,G6,SRJN,PDG,PS,2.95,3.25,LLW
824,P,AKU,G3,SMTA,PSN,PS,2.92,3.1,LLW
2022,P,EKO,G3,SMTA,PDG,PDG,3.25,3.08,LLW
1054,L,AKU,G4,SRJN,LL,PSN,3.48,3.13,LLW
837,L,AKU,G4,SRJN,PSN,GRD,3.12,2.78,LLW
3143,P,KOM,G3,SRJN,LL,GRD,3.36,3.09,LLW
6079,P,HUK,G6,SRJN,PNS,PNS,2.8,2.9,LLW
5793,L,HUK,G3,SMTA,GRD,GRD,2.7,2.3,LLW
3454,P,KOM,G4,SRJN,PS,GRD,3.45,3.59,LLW
6285,P,HUK,G3,SMTA,PDG,PDG,2.4,2.6,LLW
5514,L,HUK,G2,SMTA,PDG,PDG,2.1,2.78,LLW
6316,L,HUK,G6,SRJN,PDG,PS,2.7,2.95,LLW
5993,P,HUK,G4,SRJN,PNS,PNS,3.4,3.1,LLW
6058,L,HUK,G4,SRJN,LL,GRD,2.5,2.15,LLW
1965,P,EKO,G4,SRJN,GRD,GRD,3.08,3.08,LLW
1943,L,EKO,G3,SMTA,LL,PS,3.54,2.96,LLW
3112,L,KOM,G1,SMTA,LL,PS,2.27,2.5,LLW
3123,L,KOM,G3,SMTA,LL,PNS,3.32,2.82,LLW
3036,P,KOM,G3,SMTA,GRD,PS,3.48,3.61,LLW
3318,P,KOM,G3,SRJN,PNS,BPN,3.14,3.41,LLW
1978,L,EKO,G3,SMTA,LL,PNS,3.58,3.46,LLW
6106,L,HUK,G4,SMP,LL,PS,2.3,2.2,LLW
3078,P,KOM,G5,SMTA,LL,PS,2.43,2.55,LLW
3141,P,KOM,G4,SRJN,PDG,PNS,3.68,3.27,LLW
6200,L,HUK,G7,SRJN,LL,PS,2.7,2.3,LLW
5567,L,HUK,G2,SMTA,LL,PS,1.5,1.25,LLW
3239,L,KOM,G3,SMP,PDG,PDG,2.64,3.1,LLW
5706,P,HUK,G4,SD,PDG,PNS,2.5,2.45,LLW
5929,L,HUK,G3,SMTA,PDG,PS,2.4,2.75,LLW
2068,L,EKO,G3,SRJN,LL,PSN,1.21,1.75,LLW
965,P,AKU,G3,SMTA,LL,PSN,3.57,3.38,LLW
3446,P,KOM,G3,SMTA,PDG,LL,3.36,3.59,LLW
5592,P,HUK,G4,SRJN,GRD,GRD,2.4,2.4,LLW
5130,P,HUK,G4,SRJN,GRD,GRD,2.76,3.1,LLW
5675,L,HUK,G4,SMTA,PDG,PDG,2.3,2.19,LLW
6049,P,HUK,G6,SRJN,GRD,PS,3.2,2.65,LLW
6353,P,HUK,G4,SRJN,PSN,PSN,3.1,3.33,LLW
1884,P,EKO,G3,SD,PDG,PSN,2.96,2.86,LLW
755,L,AKU,G4,SMTA,PNS,PS,2.38,1.9,LLW
677,L,AKU,G2,SMTA,PDG,PDG,3.0,3.09,LLW
3475,P,KOM,G7,SRJN,PNS,PS,3.18,3.32,LLW
5370,L,HUK,G1,SRJN,LL,BPN,2.0,2.22,LLW
5391,L,HUK,G2,SRJN,GRD,PS,1.9,2.72,LLW
6203,L,HUK,G7,SMTA,LL,LL,2.6,3.3,LLW
1938,L,EKO,G5,SMTA,PS,PNS,1.75,1.52,LLW
5614,P,HUK,G4,SRJN,PS,PNS,2.0,2.94,LLW
5969,L,HUK,G4,SMTA,PDG,PNS,2.7,2.6,LLW
5656,L,HUK,G4,SRJN,GRD,PS,2.2,2.11,LLW
5882,L,HUK,G3,SMTA,PNS,PSN,2.3,2.85,LLW
3357,P,KOM,G3,SMTA,LL,PS,2.95,3.42,LLW
6221,L,HUK,G4,SMTA,LL,PDG,2.4,2.8,LLW
5805,L,HUK,G4,SMTA,LL,PSN,2.4,2.55,LLW
6105,L,HUK,G3,SMP,LL,PDG,3.5,3.25,LLW
3042,P,KOM,G3,SMTA,PS,PS,2.48,3.29,LLW
1899,P,EKO,G3,SRJN,PNS,GRD,3.62,2.79,LLW
2125,L,EKO,G4,SMTA,LL,PNS,2.96,3.14,LLW
6209,L,HUK,G5,SRJN,LL,PNS,3.9,3.0,LLW
5482,L,HUK,G2,LL,BPN,BPN,2.6,2.65,LLW
5517,P,HUK,G2,SMTA,PDG,PDG,2.5,1.7,LLW
3216,P,KOM,G4,SRJN,PNS,PDG,3.32,3.32,LLW
2116,L,EKO,G4,SRJN,GRD,PNS,2.5,2.57,LLW
861,P,AKU,G6,SRJN,PNS,PNS,3.04,2.61,LLW
6117,L,HUK,G5,SMTA,PDG,PDG,2.7,2.9,LLW
3250,P,KOM,G2,SRJN,PDG,BPN,3.0,2.95,LLW
5699,P,HUK,G3,SMTA,LL,PSN,3.0,2.79,LLW
1896,L,EKO,G4,SRJN,GRD,PNS,3.29,2.55,LLW
3185,P,KOM,G5,SRJN,GRD,PDG,3.0,3.09,LLW
5458,L,HUK,G3,SMTA,PNS,GRD,3.3,2.92,LLW
1020,L,AKU,G4,SRJN,GRD,GRD,3.52,3.83,LLW
5745,P,HUK,G2,SMTA,PDG,PDG,2.4,2.45,LLW
858,P,AKU,G3,SMP,LL,ABRI,3.46,2.71,LLW
3085,P,KOM,G1,SRJN,PDG,PDG,3.0,2.6,LLW
1843,P,EKO,G4,SRJN,PDG,PNS,2.67,2.67,LLW
5141,L,HUK,G3,SMTA,LL,LL,1.53,2.06,LLW
2015,L,EKO,G3,SMTA,LL,PSN,3.46,2.83,LLW
5484,L,HUK,G3,SMTA,LL,PNS,2.9,2.05,LLW
1204,L,AKU,G1,SMTA,LL,LL,3.09,3.59,LLW
5159,P,HUK,G7,SRJN,PS,PS,3.25,2.79,LLW
5508,P,HUK,G2,SMTA,PNS,LL,1.8,2.2,LLW
3124,L,KOM,G1,SRJN,LL,PS,3.14,2.96,LLW
3146,L,KOM,G4,SRJN,GRD,LL,3.0,2.92,LLW
2253,L,EKO,G2,SD,LL,PDG,2.91,3.3,LLW
5618,P,HUK,G2,SMTA,LL,PSN,1.8,2.25,LLW
1188,P,AKU,G5,SRJN,PNS,PNS,3.18,3.23,LLW
6179,L,HUK,G4,SRJN,PNS,PNS,1.8,2.0,LLW
3319,P,KOM,G4,SRJN,GRD,GRD,3.09,3.14,LLW
2301,L,EKO,G4,SRJN,PS,PDG,3.23,3.25,LLW
2190,L,EKO,G3,SRJN,PS,PDG,3.21,3.21,LLW
3333,P,KOM,G2,SMP,PDG,PS,3.18,3.23,LLW
3080,L,KOM,G3,SMTA,LL,PSN,2.85,2.43,LLW
5747,L,HUK,G4,SMTA,PDG,PS,2.4,2.61,LLW
6001,P,HUK,G3,SRJN,PDG,PS,3.1,2.82,LLW
5686,P,HUK,G3,SMTA,LL,PSN,2.2,2.35,LLW
5462,L,HUK,G4,SRJN,GRD,PSN,1.9,2.19,LLW
1879,P,EKO,G3,SD,LL,PDG,2.71,2.6,LLW
3400,P,KOM,G1,SMP,LL,BPN,3.45,3.36,LLW
5110,P,HUK,G3,SRJN,PDG,PNS,2.45,2.5,LLW
981,L,AKU,G6,SRJN,GRD,GRD,3.05,3.35,LLW
3340,L,KOM,G4,SRJN,PNS,PSN,3.05,3.18,LLW
3033,L,KOM,G2,SMTA,GRD,PNS,2.83,2.95,LLW
5429,L,HUK,G3,SMTA,LL,GRD,2.6,1.75,LLW
5173,P,HUK,G2,SMP,LL,PSN,2.5,2.48,LLW
3463,P,KOM,G3,SMTA,LL,PDG,2.95,3.1,LLW
5731,L,HUK,G4,SMTA,PNS,PS,1.8,1.31,LLW
3139,P,KOM,G2,SD,LL,PS,3.41,3.14,LLW
3238,P,KOM,G4,SRJN,GRD,GRD,3.05,2.95,LLW
6022,P,HUK,G7,SRJN,PDG,PDG,2.9,2.9,LLW
5788,L,HUK,G4,SRJN,GRD,PNS,2.6,2.25,LLW
5728,L,HUK,G2,SMTA,LL,PSN,2.1,2.05,LLW
5681,L,HUK,G3,SMTA,LL,PDG,1.9,2.5,LLW
3148,P,KOM,G4,SRJN,GRD,PS,3.05,2.71,LLW
1844,L,EKO,G3,SRJN,GRD,PNS,3.17,2.55,LLW
5931,P,HUK,G4,SRJN,GRD,GRD,2.8,3.15,LLW
1948,P,EKO,G3,SMTA,PDG,GRD,3.54,3.33,LLW
2204,L,EKO,G3,SMP,PDG,PDG,3.17,3.46,LLW
3111,P,KOM,G3,SMTA,PNS,GRD,3.09,2.46,LLW
3376,P,KOM,G4,SMTA,ABRI,ABRI,3.23,3.32,LLW
6030,L,HUK,G5,SRJN,PNS,ABRI,2.3,2.85,LLW
3415,P,KOM,G5,SRJN,PDG,PS,3.23,3.45,LLW
1086,L,AKU,G5,SRJN,PNS,GRD,3.59,3.36,LLW
3264,L,KOM,G4,SRJN,GRD,GRD,3.5,3.77,LLW
3030,P,KOM,G5,SRJN,PDG,LL,3.22,3.61,LLW
3087,L,KOM,G3,SMTA,PS,LL,3.41,2.83,LLW
6223,P,HUK,G2,SMTA,LL,PS,2.8,3.05,LLW
676,L,AKU,G4,SMTA,LL,GRD,2.96,3.14,LLW
835,L,AKU,G5,SMTA,LL,PS,2.75,2.76,LLW
5843,P,HUK,G4,SRJN,LL,PS,2.7,2.95,LLW
3314,P,KOM,G7,SRJN,PS,PNS,2.77,2.0,LLW
6025,L,HUK,G1,SMTA,LL,LL,1.9,1.75,LLW
2220,L,EKO,G7,SRJN,GRD,PS,2.95,2.92,LLW
6064,P,HUK,G5,SRJN,LL,PNS,2.5,2.72,LLW
5846,L,HUK,G5,SMTA,LL,PDG,2.6,2.05,LLW
2028,L,EKO,G5,SRJN,LL,PNS,3.0,2.21,LLW
3031,L,KOM,G4,SMTA,PDG,PDG,3.14,2.65,LLW
5939,P,HUK,G4,SMTA,LL,PSN,1.7,2.81,LLW
3164,P,KOM,G5,SMTA,PS,PNS,3.27,3.32,LLW
6252,P,HUK,G5,SRJN,PNS,PNS,2.4,3.15,LLW
3362,P,KOM,G4,SRJN,LL,GRD,3.27,3.09,LLW
5455,L,HUK,G4,SMTA,LL,PNS,2.2,2.39,LLW
6318,P,HUK,G2,SMP,LL,PSN,3.7,3.42,LLW
3095,L,KOM,G2,SRJN,GRD,LL,3.55,3.5,LLW
6057,P,HUK,G3,SMTA,PNS,PNS,2.1,2.95,LLW
5504,L,HUK,G3,LL,PDG,PDG,1.8,2.31,LLW
1007,L,AKU,G2,SMTA,LL,BPN,3.19,3.22,LLW
720,L,AKU,G3,SMTA,PS,PDG,3.08,3.0,LLW
3363,L,KOM,G4,SRJN,GRD,PDG,3.41,3.09,LLW
907,L,AKU,G3,SRJN,GRD,BPN,3.38,3.26,LLW
3307,L,KOM,G4,SRJN,LL,PS,3.32,2.91,LLW
769,L,AKU,G5,SRJN,PNS,PNS,2.92,2.43,LLW
3392,P,KOM,G3,SMTA,LL,PS,3.5,3.5,LLW
2263,P,EKO,G3,SMTA,LL,PSN,3.73,3.83,LLW
5967,P,HUK,G5,SMTA,LL,PNS,2.4,2.55,LLW
2207,L,EKO,G6,SRJN,GRD,PS,3.04,2.92,LLW
3054,P,KOM,G1,SMTA,LL,BPN,3.52,3.65,LLW
2187,P,EKO,G7,SRJN,LL,PS,3.5,3.46,LLW
6263,P,HUK,G5,SMTA,LL,PNS,3.7,3.27,LLW
5925,P,HUK,G5,SMTA,LL,LL,3.7,3.41,LTW
5601,L,HUK,G3,SRJN,GRD,PNS,2.5,3.1,LTW
1102,P,AKU,G4,SMTA,LL,LL,3.73,3.5,LTW
5670,P,HUK,G2,SRJN,GRD,PNS,2.8,3.4,LTW
2209,P,EKO,G5,SMTA,LL,PNS,3.92,3.54,LTW
2092,P,EKO,G5,SRJN,ABRI,PDG,3.21,3.67,LTW
834,P,AKU,G5,SMTA,LL,PS,3.46,3.35,LTW
2288,P,EKO,G4,SRJN,GRD,PNS,3.77,3.58,LTW
995,L,AKU,G4,SRJN,GRD,GRD,3.19,3.78,LTW
1089,P,AKU,G7,SRJN,PS,PDG,3.27,3.64,LTW
6337,L,HUK,G4,SMP,LL,GRD,3.1,3.09,LTW
1961,L,EKO,G4,SRJN,PNS,PS,2.92,3.29,LTW
5502,L,HUK,G3,SRJN,GRD,PNS,3.1,3.32,LTW
2239,P,EKO,G3,SMTA,GRD,PDG,3.18,3.86,LTW
5727,P,HUK,G4,SRJN,PDG,PDG,2.3,2.85,LTW
2282,P,EKO,G3,SMTA,PDG,PDG,3.77,3.67,LTW
5794,P,HUK,G4,SMTA,LL,ABRI,2.6,3.05,LTW
5559,P,HUK,G4,SRJN,PNS,PNS,2.8,2.95,LTW
1147,L,AKU,G3,SMTA,LL,PDG,3.05,3.48,LTW
5985,P,HUK,G3,SRJN,LL,PNS,2.5,2.35,LTW
2144,L,EKO,G2,SMP,LL,PSN,3.42,3.71,LTW
726,L,AKU,G3,SMP,PDG,PDG,3.54,3.5,LTW
2276,P,EKO,G4,SMTA,PDG,PNS,3.09,3.71,LTW
5525,L,HUK,G3,SMTA,LL,ABRI,2.5,2.8,LTW
962,L,AKU,G4,SMTA,LL,PDG,3.48,3.22,LTW
2093,L,EKO,G4,SMTA,PS,PS,3.21,3.42,LTW
2225,P,EKO,G4,SMTA,LL,PS,3.5,3.58,LTW
2277,L,EKO,G3,SRJN,GRD,PNS,2.55,3.15,LTW
6225,L,HUK,G3,SMTA,PDG,PDG,2.4,3.0,LTW
5648,L,HUK,G4,SRJN,PNS,PNS,2.9,3.1,LTW
2157,P,EKO,G3,SMTA,PDG,PNS,3.58,3.42,LTW
1051,L,AKU,G3,SRJN,GRD,PNS,3.48,3.78,LTW
5164,P,HUK,G4,SMTA,LL,PSN,3.35,3.54,LTW
5704,P,HUK,G3,SMTA,PNS,PNS,3.0,3.14,LTW
2308,L,EKO,G7,SMTA,LL,PS,3.14,2.96,LTW
6094,P,HUK,G4,SRJN,LL,PS,2.3,3.25,LTW
6386,P,HUK,G3,SRJN,LL,PNS,3.0,2.91,LTW
859,P,AKU,G4,SRJN,GRD,LL,3.54,3.35,LTW
936,P,AKU,G5,SRJN,GRD,PSN,3.62,3.46,LTW
5850,P,HUK,G4,SRJN,LL,PDG,3.9,3.46,LTW
934,L,AKU,G5,SRJN,GRD,GRD,3.24,3.58,LTW
714,P,AKU,G3,SMTA,PNS,LL,3.46,3.67,LTW
6372,L,HUK,G6,SRJN,PDG,PDG,3.8,3.17,LTW
5896,L,HUK,G6,SRJN,GRD,GRD,3.6,3.3,LTW
2269,L,EKO,G3,SRJN,PDG,PS,2.86,3.12,LTW
864,P,AKU,G4,SMP,PDG,PDG,3.38,3.71,LTW
691,P,AKU,G4,SRJN,GRD,PNS,3.29,3.24,LTW
5984,P,HUK,G3,SD,PDG,ABRI,3.2,3.62,LTW
1153,P,AKU,G4,LL,PNS,PNS,3.59,3.29,LTW
5571,P,HUK,G4,SMTA,LL,PNS,3.7,3.38,LTW
1974,P,EKO,G3,SRJN,LL,PS,3.5,3.46,LTW
5388,P,HUK,G3,SRJN,GRD,LL,3.5,3.5,LTW
6322,P,HUK,G4,SMTA,LL,PSN,3.1,3.27,LTW
828,P,AKU,G4,SMTA,PDG,PS,3.0,3.19,LTW
959,L,AKU,G3,SMTA,LL,PNS,3.62,3.7,LTW
6294,L,HUK,G4,SMTA,PS,PS,2.8,2.9,LTW
6099,P,HUK,G4,SRJN,PNS,PS,3.1,3.23,LTW
2295,P,EKO,G4,SRJN,GRD,LL,2.95,3.3,LTW
6298,P,HUK,G3,SRJN,PDG,GRD,3.4,3.73,LTW
2162,P,EKO,G3,SD,LL,BPN,3.67,3.5,LTW
1966,P,EKO,G2,SRJN,PNS,PNS,3.0,3.46,LTW
1006,L,AKU,G4,SRJN,GRD,GRD,3.86,3.91,LTW
5835,L,HUK,G3,SMTA,LL,ABRI,3.5,3.42,LTW
1135,P,AKU,G4,SRJN,GRD,PDG,3.09,3.0,LTW
1842,P,EKO,G3,SD,PDG,PDG,3.5,3.33,LTW
2101,P,EKO,G4,SMTA,LL,PS,3.75,3.42,LTW
1012,P,AKU,G1,SD,BPN,BPN,3.62,3.91,LTW
5421,L,HUK,G3,SRJN,GRD,GRD,3.4,3.41,LTW
6385,P,HUK,G3,SRJN,PDG,PDG,3.6,3.55,LTW
999,P,AKU,G4,SMTA,LL,LL,3.14,3.57,LTW
997,L,AKU,G4,SRJN,LL,PS,3.76,3.17,LTW
2245,P,EKO,G4,SMTA,LL,PS,3.32,3.67,LTW
5639,L,HUK,G3,SMTA,PDG,PDG,3.2,3.09,LTW
5597,L,HUK,G4,SMTA,LL,GRD,3.0,3.18,LTW
5575,P,HUK,G2,SMTA,LL,PDG,3.1,3.0,LTW
5829,L,HUK,G1,SMP,LL,PSN,3.0,3.05,LTW
6121,P,HUK,G4,SMTA,PNS,LL,2.8,2.8,LTW
868,P,AKU,G4,SRJN,GRD,PNS,3.42,3.04,LTW
2124,P,EKO,G5,SRJN,GRD,PS,3.5,3.17,LTW
